epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5743,0.94574,0.75716,0.99731,0.94956,0.95203,0.95568,0.63931,1.03681,0.64037,1.01959,0.000551754,0.000551754,0.000551754
2,114.209,0.99502,0.73972,1.01243,0.96506,0.96044,0.96155,0.61327,1.03081,0.62791,1.02267,0.00107088,0.00107088,0.00107088
3,168.714,0.9928,0.74372,1.00947,0.85664,0.92748,0.96734,0.63505,1.03577,0.74196,1.00808,0.00155332,0.00155332,0.00155332
4,222.666,1.02079,0.82339,1.02468,0.8344,0.67717,0.9321,0.61092,1.09367,1.05491,1.01654,0.00150197,0.00150197,0.00150197
5,278.678,1.00362,0.75552,1.01109,0.94537,0.88396,0.90737,0.5834,1.02943,0.78568,1.01351,0.00144696,0.00144696,0.00144696
6,336.012,1.0021,0.74284,1.01325,0.93324,0.92209,0.95511,0.64449,1.04071,0.68904,1.00991,0.00139195,0.00139195,0.00139195
7,390.309,0.98295,0.7424,1.00656,0.95997,0.95611,0.96515,0.61388,1.00396,0.69853,1.01593,0.00133693,0.00133693,0.00133693
