epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3003,0.93977,0.76266,1.00381,0.94363,0.94211,0.98549,0.65221,1.005,0.69366,0.99363,0.000546847,0.000546847,0.000546847
2,65.409,1.00132,0.7411,1.01429,0.77723,0.88761,0.95873,0.63444,0.96654,1.10041,1.00292,0.00106613,0.00106613,0.00106613
3,97.4894,1.04612,0.8124,1.04474,0.8986,0.85407,0.9485,0.61864,1.05757,0.92703,0.99757,0.00154874,0.00154874,0.00154874
4,129.308,1.03287,0.84015,1.0182,0.82075,0.90164,0.94215,0.60631,1.14022,0.88613,1.0249,0.00150197,0.00150197,0.00150197
5,161.126,1.05587,0.80966,1.03142,0.88001,0.93899,0.96253,0.61358,1.05595,0.83907,1.02981,0.00144696,0.00144696,0.00144696
6,192.929,1.0131,0.78721,1.01576,0.96313,0.95432,0.98093,0.6433,1.09514,0.68579,1.01436,0.00139195,0.00139195,0.00139195
7,224.61,1.02623,0.75907,1.02243,0.93066,0.92892,0.97143,0.64651,1.01084,0.75342,1.01911,0.00133693,0.00133693,0.00133693
8,256.295,0.99639,0.78047,1.01438,0.82122,0.85023,0.93628,0.6066,1.07314,0.95221,1.01455,0.00128192,0.00128192,0.00128192
9,287.614,1.01122,0.73611,1.01545,0.95841,0.94336,0.9779,0.65251,1.03962,0.71313,1.01857,0.00122691,0.00122691,0.00122691
10,319.396,1.00015,0.7151,1.00617,0.96126,0.95041,0.98914,0.63056,1.05599,0.63211,1.03878,0.0011719,0.0011719,0.0011719
11,350.676,1.00498,0.73908,1.01789,0.93279,0.91133,0.97032,0.66264,1.05852,0.64847,1.01296,0.00111689,0.00111689,0.00111689
12,382.464,0.9971,0.73332,1.01695,0.97489,0.94262,0.98468,0.65432,1.05416,0.61287,1.0048,0.00106188,0.00106188,0.00106188
13,413.994,1.00172,0.70906,1.01535,0.7806,0.84369,0.94144,0.61064,1.02891,1.01585,1.03821,0.00100687,0.00100687,0.00100687
14,445.575,0.98457,0.71392,1.01289,0.97908,0.98361,0.98887,0.64418,1.06349,0.54859,1.02801,0.000951857,0.000951857,0.000951857
15,477.149,0.96689,0.72176,1.00573,0.89912,0.955,0.98354,0.65721,1.0206,0.66053,1.00543,0.000896846,0.000896846,0.000896846
16,508.896,0.93313,0.65057,0.99556,0.96198,0.90231,0.98283,0.64883,1.04301,0.65596,1.00644,0.000841835,0.000841835,0.000841835
17,540.503,0.95857,0.70354,1.00221,0.9134,0.88075,0.93285,0.62432,0.94012,0.80272,0.99139,0.000786824,0.000786824,0.000786824
18,572.507,0.9256,0.67396,0.99442,0.9712,0.97251,0.98107,0.6518,0.98034,0.59346,1.01086,0.000731813,0.000731813,0.000731813
19,604.483,0.91122,0.66778,0.99305,0.97125,0.9664,0.98011,0.63543,1.00969,0.608,1.01584,0.000676802,0.000676802,0.000676802
20,636.449,0.9325,0.63042,0.99895,0.95606,0.98361,0.99002,0.66232,1.02683,0.52765,1.01986,0.000621791,0.000621791,0.000621791
21,667.779,0.88616,0.55601,0.98879,0.97494,0.97541,0.98906,0.64767,1.02319,0.56285,1.01908,0.00056678,0.00056678,0.00056678
